stage,backend,case,tiny,rank,local_batch,global_batch,setup_peak_allocated_gib,setup_peak_reserved_gib,setup_allocated_gib,setup_reserved_gib,setup_device_used_gib,setup_device_free_gib,steady_peak_allocated_gib,steady_peak_reserved_gib,steady_allocated_gib,steady_reserved_gib,steady_device_used_gib,steady_device_free_gib,parameter_bytes,logical_gradient_bytes,optimizer_state_bytes
ddp-rt-b64-01,ddp,rt,False,1,64,128,36.46268177032471,58.134765625,22.111546993255615,39.87890625,41.7821044921875,37.3966064453125,22.111581325531006,39.87890625,22.111546993255615,39.87890625,41.7821044921875,37.3966064453125,4740612096,4707057664,9414115588
single-combined-b128-01,single,combined,False,0,128,128,58.095067501068115,65.11328125,19.087621212005615,65.11328125,66.28790283203125,12.89080810546875,19.08765745162964,65.11328125,19.087621212005615,65.11328125,66.28790283203125,12.89080810546875,5071519744,5071519744,10143039772
single-rt-b128-01,single,rt,False,0,128,128,45.74564027786255,48.376953125,17.757236003875732,48.376953125,49.48126220703125,29.69744873046875,17.757269859313965,48.376953125,17.757236003875732,48.376953125,49.48126220703125,29.69744873046875,4740612096,4707057664,9414115588
tiny-capacity-01,ddp,combined,True,0,2,4,0.1262979507446289,0.130859375,0.12601900100708008,0.130859375,1.6766357421875,77.5020751953125,0.12602758407592773,0.130859375,0.12601900100708008,0.130859375,1.6766357421875,77.5020751953125,213632,213632,427324
tiny-capacity-01,ddp,combined,True,1,2,4,0.1262979507446289,0.130859375,0.12601900100708008,0.130859375,1.6766357421875,77.5020751953125,0.12602758407592773,0.130859375,0.12601900100708008,0.130859375,1.6766357421875,77.5020751953125,213632,213632,427324
tiny-zero1-graph-01,zero1,combined,True,0,2,4,0.12609434127807617,0.130859375,0.12581539154052734,0.130859375,1.6766357421875,77.5020751953125,0.125823974609375,0.130859375,0.12581539154052734,0.130859375,1.6766357421875,77.5020751953125,213632,213632,213784
tiny-zero1-graph-01,zero1,combined,True,1,2,4,0.12609577178955078,0.130859375,0.12581682205200195,0.130859375,1.6766357421875,77.5020751953125,0.1258254051208496,0.130859375,0.12581682205200195,0.130859375,1.6766357421875,77.5020751953125,213632,213632,213540
zero1-combined-b128-01,zero1,combined,False,0,128,256,58.09549379348755,77.5078125,19.088047981262207,69.181640625,71.1590576171875,8.0196533203125,19.08808469772339,69.6640625,19.088047981262207,69.6640625,71.6414794921875,7.5372314453125,5071519744,5071519744,5070946444
zero1-combined-b128-01,zero1,combined,False,1,128,256,58.09460926055908,77.5078125,19.08716344833374,69.181640625,71.1590576171875,8.0196533203125,19.087200164794922,69.3046875,19.08716344833374,69.3046875,71.2821044921875,7.8966064453125,5071519744,5071519744,5072093328
zero1-rt-b192-01,zero1,rt,False,0,192,384,59.43190336227417,77.56640625,17.800373077392578,62.1953125,64.0946044921875,15.0841064453125,17.80040740966797,62.775390625,17.800373077392578,62.775390625,64.6746826171875,14.5040283203125,4740612096,4707057664,4716494976
zero1-rt-b192-01,zero1,rt,False,1,192,384,59.41237258911133,77.56640625,17.780842304229736,62.1953125,64.0946044921875,15.0841064453125,17.780876636505127,62.3203125,17.780842304229736,62.3203125,64.2196044921875,14.9591064453125,4740612096,4707057664,4697620612
