arm,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,ood_dev,25000,21,102400,0,1755,604974,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017138671875,0.016361656743758564,0.01795191400479293,0.28133091517857145,4.095333039658144
seq,ood_dev,25000,22,102400,0,1738,606712,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01697265625,0.016199438828229357,0.017782113125756963,0.26931463068181816,4.095253512554336
seq,ood_dev,25000,23,102400,0,1756,608468,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0171484375,0.016371199577428573,0.01796190168845028,0.2583508831521739,4.095264719857369
seq,ood_dev,25000,24,102400,0,1669,610137,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016298828125,0.015541228838945096,0.0170927174194532,0.248265380859375,4.09543872266775
seq,ood_dev,25000,25,102400,0,1705,611842,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016650390625,0.01588460133851014,0.017452443543673216,0.23900078125,4.09525903781876
seq,ood_dev,25000,26,102400,0,1704,613546,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016640625,0.01587506198163439,0.0174424523832216,0.23044846754807694,4.095340816169045
seq,ood_dev,25000,27,102400,0,1718,615264,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.22253472222222223,4.095335889451672
seq,ood_dev,25000,28,102400,0,1712,616976,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01671875,0.01595137878323341,0.017522379720241482,0.2151841517857143,4.095236563102808
seq,ood_dev,25000,29,102400,0,1685,618661,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016455078125,0.015693827513485862,0.01725260702215024,0.20833142510775862,4.095551750585437
seq,ood_dev,25000,30,102400,0,1812,620473,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0176953125,0.016905703082172777,0.018521107154038388,0.20197688802083333,4.095183785445988
seq,ood_dev,25000,31,102400,0,1710,622183,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01669921875,0.01593229916630613,0.01750239830251404,0.1960001890120968,4.095435353196226
seq,ood_dev,25000,32,102400,0,1691,623874,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016513671875,0.01575105670713481,0.01731256093246547,0.1903912353515625,4.095406214329414
seq,ood_dev,25000,33,102400,0,1705,625579,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016650390625,0.01588460133851014,0.017452443543673216,0.1851263612689394,4.095305373652373
seq,ood_dev,25000,34,102400,0,1762,627341,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01720703125,0.01642845797781226,0.01802182639203077,0.18018755744485293,4.095357059752569
seq,ood_dev,25000,35,102400,0,1702,629043,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.17551422991071428,4.095528282427694
seq,ood_dev,25000,36,102400,0,1678,630721,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01638671875,0.015627063346117524,0.017182657568227042,0.17109402126736112,4.095431035456714
seq,dev,50000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0160852591940467
seq,dev,50000,2,102400,100694,100694,203094,204800,0.98333984375,0.9825375653655165,0.9841058592349728,0.98333984375,0.9825375653655165,0.9841058592349728,0.991669921875,0.07419247548430942
seq,dev,50000,3,102400,100600,102244,305338,307200,0.982421875,0.9815987054640247,0.9832088505076926,0.9984765625,0.9982182571640615,0.9986974692938401,0.9939388020833333,0.007014175858907108
seq,dev,50000,4,102400,99443,100922,406260,409600,0.971123046875,0.9700795629653315,0.972131184458627,0.98556640625,0.9848174643320663,0.9862789182190618,0.991845703125,0.04553902540749013
seq,dev,50000,5,102400,94936,96860,503120,512000,0.927109375,0.9255010955062971,0.9286856103232378,0.9458984375,0.9444960758192038,0.947267345348177,0.98265625,0.17139791239282182
seq,dev,50000,6,102400,80268,83861,586981,614400,0.7838671875,0.7813355237982833,0.7863775538734954,0.818955078125,0.8165847061350946,0.8213015202938985,0.9553727213541666,0.5858942091164725
seq,dev,50000,7,102400,48603,54833,641814,716800,0.474638671875,0.47158117878984485,0.4776980677109942,0.535478515625,0.5324225172837109,0.5385318521665978,0.8953878348214286,1.5902551659887367
seq,dev,50000,8,102400,18905,26160,667974,819200,0.184619140625,0.18225460196734097,0.1870073409454808,0.25546875,0.2528067447207949,0.2581491014020433,0.81539794921875,2.7564786560068684
seq,dev,50000,9,102400,4924,10792,678766,921600,0.0480859375,0.04679239853662317,0.04941338162234072,0.105390625,0.10352472095570628,0.1072861348802219,0.7365082465277778,3.5473170377417294
