role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
ood_dev,10000,7,102400,102336,102346,716713,716800,0.999375,0.9992020535530068,0.999510480499012,0.99947265625,0.99931206478972,0.9995957744355726,0.9998786272321428,0.001847881107383308
ood_dev,10000,8,102400,102289,102318,819031,819200,0.998916015625,0.9986948905496533,0.9990997091879794,0.99919921875,0.9990062333665538,0.9993547513735724,0.999793701171875,0.002910367965343114
ood_dev,10000,9,102400,102209,102253,921284,921600,0.998134765625,0.9978511472800239,0.9983810110714199,0.998564453125,0.9983131050785029,0.9987783960353448,0.9996571180555556,0.004803535553428224
ood_dev,10000,10,102400,102100,102171,1023455,1024000,0.9970703125,0.9967201141559111,0.9973832178068501,0.997763671875,0.9974550819919834,0.9980349167010207,0.9994677734375,0.007532742087503152
ood_dev,10000,11,102400,101916,102029,1125484,1126400,0.9952734375,0.9948343659258698,0.9956753508486567,0.996376953125,0.9959898694750091,0.9967267957575092,0.9991867897727272,0.01156337002383285
ood_dev,10000,12,102400,101551,101739,1227223,1228800,0.991708984375,0.9911348582218029,0.9922462197282362,0.993544921875,0.9930355634343955,0.9940172517731878,0.9987166341145833,0.021310333854076765
ood_dev,10000,13,102400,81790,82047,1309270,1331200,0.79873046875,0.7962635154671651,0.8011750095768597,0.801240234375,0.7987847144065059,0.8036731535906512,0.9835261418269231,0.8573277318868339
ood_dev,10000,14,102400,22032,24065,1333335,1433600,0.21515625,0.21265005555205443,0.2176838150434304,0.235009765625,0.23242275340719337,0.23761665891481987,0.9300606863839286,4.818640455251234
ood_dev,10000,15,102400,2878,6572,1339907,1536000,0.02810546875,0.027110749376996868,0.02913559233018293,0.0641796875,0.06269493243805818,0.06569714027639942,0.8723352864583334,7.042144668171185
ood_dev,10000,16,102400,250,2823,1342730,1638400,0.00244140625,0.0021572363750728446,0.002762905795797788,0.027568359375,0.026583100467505286,0.028589062786669565,0.819537353515625,7.626690827085692
ood_dev,10000,17,102400,19,1968,1344698,1740800,0.000185546875,0.0001187940488148779,0.0002897986194349718,0.01921875,0.01839570319194052,0.020077867747339224,0.7724597886029412,7.435241125181274
ood_dev,10000,18,102400,0,1653,1346351,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016142578125,0.015388648562805618,0.016932809418354882,0.7304421657986111,7.175669874127489
ood_dev,10000,19,102400,0,1736,1348087,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016953125,0.01618035564849098,0.017762135270840616,0.6928901110197369,7.044487907368166
ood_dev,10000,20,102400,0,1743,1349830,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017021484375,0.016247147961351464,0.017832056579271675,0.6590966796875,7.028608285252122
ood_dev,10000,21,102400,0,1662,1351492,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01623046875,0.015474472688896538,0.017022759948210224,0.6284840029761904,7.091039432793041
ood_dev,10000,22,102400,0,1673,1353165,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016337890625,0.01557937679287261,0.017132691534835136,0.6006591796875,7.173542660016101
ood_dev,10000,23,102400,0,1711,1354876,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016708984375,0.015941838940128936,0.01751238904601859,0.5752700407608695,7.242056083529605
ood_dev,10000,24,102400,0,1713,1356589,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016728515625,0.015960918695559916,0.017532370325242335,0.5519974772135416,7.331082493425347
ood_dev,10000,25,102400,0,1697,1358286,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016572265625,0.01580828843853085,0.0173725123050336,0.53058046875,7.369755607581173
ood_dev,10000,26,102400,0,1675,1359961,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016357421875,0.015598451199770717,0.01715267816259176,0.5108026592548077,7.455364310970181
ood_dev,10000,27,102400,0,1685,1361646,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016455078125,0.015693827513485862,0.01725260702215024,0.49249348958333333,7.470764001853822
ood_dev,10000,28,102400,0,1694,1363340,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01654296875,0.015779672256443042,0.017342536935139326,0.47549525669642856,7.523339372592455
ood_dev,10000,29,102400,0,1769,1365109,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017275390625,0.016495262462912757,0.018091735528221815,0.45969457165948274,7.5073166196787495
ood_dev,10000,30,102400,0,1786,1366895,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01744140625,0.016657515345765293,0.01826150143993444,0.44495279947916666,7.518584223793587
ood_dev,10000,31,102400,0,1703,1368598,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016630859375,0.01586552269446015,0.017432461153068485,0.4311359627016129,7.539903777716681
ood_dev,10000,32,102400,0,1666,1370264,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01626953125,0.015512618627879053,0.017062736078537158,0.41817138671875,7.553082603764487
ood_dev,10000,33,102400,0,1741,1372005,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017001953125,0.016228064105455898,0.017812079400512517,0.4060147372159091,7.557570508139979
ood_dev,10000,34,102400,0,1736,1373741,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016953125,0.01618035564849098,0.017762135270840616,0.39457174862132355,7.554000536268577
ood_dev,10000,35,102400,0,1718,1375459,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.38377762276785715,7.564403365573671
ood_dev,10000,36,102400,0,1737,1377196,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016962890625,0.016189897204480646,0.017772124232178315,0.3735883246527778,7.590205698145728
dev,20000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,4.2978254066259324e-05
dev,20000,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,7.040400409216885e-05
dev,20000,3,102400,102390,102390,307190,307200,0.99990234375,0.9998202295599984,0.9999469524276979,0.99990234375,0.9998202295599984,0.9999469524276979,0.9999674479166667,0.00031641439208450304
dev,20000,4,102400,102379,102383,409573,409600,0.999794921875,0.9996864903756401,0.9998658559214554,0.999833984375,0.9997341277518229,0.9998963406145821,0.99993408203125,0.0005309831350205985
dev,20000,5,102400,102367,102374,511947,512000,0.999677734375,0.9995474707523628,0.9997705093368041,0.99974609375,0.9996279799998077,0.999826713710651,0.999896484375,0.0010927922727433765
dev,20000,6,102400,102348,102357,614304,614400,0.9994921875,0.9993341989036343,0.9996127013563129,0.999580078125,0.9994344632702631,0.9996882116456304,0.99984375,0.0018651711908219653
dev,20000,7,102400,102334,102346,716650,716800,0.99935546875,0.9991801685991595,0.9994933044182046,0.99947265625,0.99931206478972,0.9995957744355726,0.9997907366071429,0.0025642999208360805
dev,20000,8,102400,102320,102338,818988,819200,0.99921875,0.999027875525462,0.999372170249319,0.99939453125,0.9992239751088952,0.9995276199777785,0.9997412109375,0.0033152909253345727
dev,20000,9,102400,102301,102324,921312,921600,0.999033203125,0.9988232169890363,0.9992057489565249,0.9992578125,0.9990712397794851,0.9994069280646055,0.9996875,0.004044658649386219
dev,20000,10,102400,102288,102312,1023624,1024000,0.99890625,0.9986842243612543,0.9990908448590511,0.999140625,0.9989414555719652,0.9993023460641969,0.9996328125,0.004713122647604945
dev,20000,11,102400,102268,102303,1125927,1126400,0.9987109375,0.9984716754723407,0.9989127834014174,0.999052734375,0.9988446687417952,0.9992233582384206,0.999580078125,0.005874498128425636
dev,20000,12,102400,102222,102261,1228188,1228800,0.99826171875,0.9979872075303278,0.9984988475463719,0.998642578125,0.998397595090806,0.9988501501616607,0.999501953125,0.007821578269585756
