first_update,update,updates_in_bin,training_seconds,loss,token_accuracy,whole_word_exact,grad_norm
56801,56900,100,3117.8537022590335,8.400109237527431e-08,1.0,1.0,1.1207319738559818e-06
56901,57000,100,3123.36628800403,8.268545180101228e-08,1.0,1.0,1.3685282021924649e-06
57001,57100,100,3128.9109919660314,0.0027104306454062764,0.9996720468997955,0.99888671875,1.5883243173726793
57101,57200,100,3134.4447293940157,0.002279252739126605,0.9997404062747955,0.999130859375,0.799085380177712
57201,57300,100,3139.927406018018,0.0015507338952647843,0.9997867941856384,0.999052734375,0.49552070324250963
57301,57400,100,3145.466586887018,0.001947499858242736,0.9997550570964813,0.999111328125,0.47776599837176037
57401,57500,100,3151.0045899090164,0.0013670633145920874,0.9998128348588944,0.99923828125,0.3350534038757905
57501,57600,100,3156.5191203480063,0.001261197319454368,0.9998307406902314,0.999248046875,0.25472557474451607
57601,57700,100,3162.074674083997,0.001633573467415772,0.999780285358429,0.9991796875,0.4030361932236701
57701,57800,100,3167.596654566998,0.0010209567866058932,0.9998478275537491,0.9993359375,0.1532538653886877
57801,57900,100,3173.0965352669955,0.001481641883838165,0.9997827237844468,0.99923828125,0.3557265145331621
57901,58000,100,3178.5917367309958,0.0009790964225703646,0.9998413169384003,0.999345703125,0.3041230207297485
58001,58100,100,3184.0498242529884,0.0006650987663761043,0.9998966544866562,0.99955078125,0.13139658301864984
58101,58200,100,3189.4867697359987,0.0015446795464413299,0.9997721463441849,0.99919921875,0.36296448145178145
58201,58300,100,3194.9173146409994,0.0011937417663466477,0.9998128354549408,0.999208984375,0.293032120593125
58301,58400,100,3200.330252771999,0.0009137066772927937,0.9998852574825287,0.9996484375,0.15655072218665736
58401,58500,100,3205.7874095419847,0.0008296748010843658,0.9998657268285751,0.99953125,0.159957048850265
58501,58600,100,3211.2552205359825,0.001099438599885616,0.9998584055900573,0.999423828125,0.2162446685798932
58601,58700,100,3216.727183713987,0.0010989272586994048,0.9998486405611038,0.999423828125,0.222085850732401
