arm,first_update,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
head,11701,0.9968954920768738,0.00264208422973752,0.07946400716900826,0.9090186953544617,0.8384651392698288,0.004348034993745387,0.9066827595233917,0.0009274892872781493,0.0017059507699741516,0.0015300486993510276,0.9994303560256959,1658.656028150027,11800,100,0.00264208422973752
head,11801,0.996985599398613,0.002751062747556716,0.07831804640591145,0.9090680181980133,0.8377760648727417,0.004710623703431338,0.9065854251384735,0.0007575932540930808,0.0019595609535463156,0.0013619530436699279,0.9993750208616257,1673.1418941920283,11900,100,0.002751062747556716
head,11901,0.996975377202034,0.002481241811765358,0.0782921351492405,0.9091901630163193,0.8381762355566025,0.0038413072633557022,0.9070061892271042,0.0009303823462687433,0.0013600654447509441,0.001967119926121086,0.9995833498239517,1687.6566479710355,12000,100,0.002481241811765358
head,12001,0.9968639612197876,0.002672663766425103,0.07990472950041294,0.9092056304216385,0.8374258726835251,0.004696547081694007,0.9072083979845047,0.0012789519387297332,0.002023883305810159,0.0014294777647592127,0.9993278163671494,1702.1557649240358,12100,100,0.002672663766425103
head,12101,0.9966799020767212,0.002555659676436335,0.08217927068471909,0.90934257209301,0.838218167424202,0.004105234681628644,0.9068896770477295,0.0011639459407888353,0.00154957499311422,0.002377551281824708,0.9994856977462768,1716.7605286060289,12200,100,0.002555659676436335
head,12201,0.9970753639936447,0.002530199931934476,0.07719022780656815,0.909478947520256,0.8392813801765442,0.004016637834720314,0.9074051827192307,0.0007265645108418539,0.0014864379065693356,0.0012395603698678315,0.9995149946212769,1731.4690694430346,12300,100,0.002530199931934476
head,12301,0.99685038626194,0.002629719744436443,0.08009281381964684,0.9095372557640076,0.839139774441719,0.004471239247359335,0.9073365330696106,0.002105764375301078,0.0018415195154375397,0.0032280306913889945,0.9993823450803757,1746.1263049900435,12400,100,0.002629719744436443
head,12401,0.9969496130943298,0.0025904941814951597,0.0787472352385521,0.9096228033304214,0.8391690105199814,0.004383591196965426,0.9075436294078827,0.001289896696107462,0.0017930970220186282,0.002161203243304044,0.9994230335950851,1760.7155936050503,12500,100,0.0025904941814951597
head,12501,0.9969151169061661,0.002573555500712246,0.07921859808266163,0.9096614569425583,0.8389022946357727,0.0043877894640900195,0.9073292762041092,0.0011255217468715273,0.001814233954937663,0.0018605265504447743,0.9994132685661316,1775.281165743042,12600,100,0.002573555500712246
head,12601,0.9969514161348343,0.0023909837938845156,0.07864979468286037,0.9097607582807541,0.8389175236225128,0.003961293720640242,0.9075011163949966,0.0030731901642866433,0.001570309926319169,0.0021596722363028675,0.9994954639673232,1789.8225099520614,12700,100,0.0023909837938845156
head,12701,0.9969939887523651,0.002537035816349089,0.07821502909064293,0.9097844064235687,0.8385429531335831,0.004402800532989204,0.9074025452136993,0.0007273631272255443,0.0018657647255167832,0.0012943707697559148,0.9993733906745911,1804.186803710053,12800,100,0.002537035816349089
head,12801,0.9971103072166443,0.0024242735211737454,0.07676467299461365,0.909851685166359,0.8380151689052582,0.004025251404382289,0.9081721305847168,0.0008343564331880771,0.0016009779026353499,0.0013644927530549467,0.9994775575399398,1818.6205927000547,12900,100,0.0024242735211737454
head,12901,0.9969986230134964,0.0024906928092241288,0.07827292941510677,0.9099437743425369,0.8387288600206375,0.00403725107666105,0.9077232182025909,0.0015472188097191975,0.0015465582712204196,0.0017637298005865887,0.999499529004097,1832.9845327290595,13000,100,0.0024906928092241288
head,13001,0.9972883611917496,0.002377257567131892,0.07434513233602047,0.9099936932325363,0.8385801166296005,0.004124920715112239,0.9079315811395645,0.001056338929629419,0.0017476631540921516,0.0007754012913210317,0.9994523292779922,1847.5154030730619,13100,100,0.002377257567131892
head,13101,0.9969509243965149,0.0024389689485542474,0.07883651182055473,0.9100222438573837,0.8380235582590103,0.004232647807803005,0.907997265458107,0.0013802766479784623,0.0017936788677616277,0.0021837653330294415,0.9994401234388351,1861.9307745280794,13200,100,0.0024389689485542474
head,13201,0.9969898015260696,0.0024910106975585223,0.07816946320235729,0.9100145250558853,0.8370887637138367,0.004609116807114333,0.9077105820178986,0.0006703079852741212,0.002118106107809581,0.0015595269505865872,0.9992977076768875,1876.3561409460717,13300,100,0.0024910106975585223
head,13301,0.997193232178688,0.0023580081202089786,0.07566432096064091,0.9100870937108994,0.8374124765396118,0.003879874577978626,0.907768964767456,0.000863661254697945,0.0015218664678832282,0.00180144960177131,0.9994808101654052,1890.7713045880782,13400,100,0.0023580081202089786
head,13401,0.9971838742494583,0.002358083452563733,0.07574024796485901,0.9101712852716446,0.837703749537468,0.0038386653689667584,0.9080654382705688,0.0010734038223745301,0.001480581906507723,0.0019178280781488866,0.9995206886529923,1905.2149135740774,13500,100,0.002358083452563733
