seed,update,fp32_native_ce,bf16_native_ce,bf16_minus_fp32_ce
7500,68,2.6138203144073486,2.6152467727661133,0.0014264583587646484
7500,69,2.6217565536499023,2.6208395957946777,-0.0009169578552246094
7500,70,2.6116538047790527,2.612169027328491,0.0005152225494384766
7500,71,2.616424560546875,2.618407964706421,0.0019834041595458984
7500,72,2.614022731781006,2.614621877670288,0.0005991458892822266
7500,73,2.610849380493164,2.6111555099487305,0.00030612945556640625
7500,74,2.614959478378296,2.6161484718322754,0.0011889934539794922
7500,75,2.6126627922058105,2.612060546875,-0.0006022453308105469
7500,76,2.606218099594116,2.606323719024658,0.00010561943054199219
7500,77,2.604435443878174,2.6044960021972656,6.0558319091796875e-05
7500,78,2.6099071502685547,2.6108784675598145,0.0009713172912597656
7500,79,2.607752799987793,2.6097946166992188,0.0020418167114257812
7500,80,2.606339454650879,2.607245922088623,0.0009064674377441406
7500,81,2.6012258529663086,2.601597785949707,0.0003719329833984375
7500,82,2.6031360626220703,2.604001522064209,0.0008654594421386719
7500,83,2.6019551753997803,2.604058265686035,0.002103090286254883
7500,84,2.602321147918701,2.604797840118408,0.0024766921997070312
7500,85,2.6027534008026123,2.6031978130340576,0.0004444122314453125
7500,86,2.6054697036743164,2.606687068939209,0.0012173652648925781
7500,87,2.602468252182007,2.600038528442383,-0.0024297237396240234
7500,88,2.6015548706054688,2.6019504070281982,0.0003955364227294922
7500,89,2.593543767929077,2.5906949043273926,-0.0028488636016845703
7500,90,2.59321665763855,2.5926074981689453,-0.0006091594696044922
7500,91,2.594362735748291,2.5935215950012207,-0.0008411407470703125
7500,92,2.598043441772461,2.596896171569824,-0.0011472702026367188
7500,93,2.5963573455810547,2.596083641052246,-0.00027370452880859375
7500,94,2.5938358306884766,2.592961311340332,-0.0008745193481445312
7500,95,2.5904948711395264,2.5902929306030273,-0.00020194053649902344
7500,96,2.593015670776367,2.5925936698913574,-0.0004220008850097656
7500,97,2.587442636489868,2.5889036655426025,0.001461029052734375
7500,98,2.590792179107666,2.589252233505249,-0.0015399456024169922
7500,99,2.5879454612731934,2.588571548461914,0.0006260871887207031
7500,100,2.5913453102111816,2.5909438133239746,-0.00040149688720703125
7500,101,2.588250160217285,2.5877819061279297,-0.00046825408935546875
7500,102,2.5862131118774414,2.5851526260375977,-0.00106048583984375
7500,103,2.5845999717712402,2.5835137367248535,-0.0010862350463867188
7500,104,2.58646559715271,2.5869526863098145,0.0004870891571044922
7500,105,2.591463088989258,2.590421199798584,-0.0010418891906738281
7500,106,2.5848426818847656,2.583444595336914,-0.0013980865478515625
7500,107,2.5814082622528076,2.5830540657043457,0.001645803451538086
7500,108,2.582730770111084,2.5823371410369873,-0.0003936290740966797
7500,109,2.583571434020996,2.5817513465881348,-0.0018200874328613281
7500,110,2.584937334060669,2.585757255554199,0.0008199214935302734
7500,111,2.5811822414398193,2.579615831375122,-0.0015664100646972656
7500,112,2.5819082260131836,2.583940267562866,0.002032041549682617
7500,113,2.572890281677246,2.5713586807250977,-0.0015316009521484375
7500,114,2.5773439407348633,2.5790724754333496,0.0017285346984863281
7500,115,2.5754590034484863,2.575725555419922,0.0002665519714355469
7500,116,2.5781373977661133,2.578906774520874,0.0007693767547607422
7500,117,2.572408676147461,2.573955535888672,0.0015468597412109375
7500,118,2.5749311447143555,2.573434352874756,-0.0014967918395996094
7500,119,2.5692968368530273,2.5704004764556885,0.0011036396026611328
7500,120,2.575348138809204,2.5763115882873535,0.0009634494781494141
7500,121,2.5752344131469727,2.5752077102661133,-2.6702880859375e-05
7500,122,2.5716991424560547,2.574904680252075,0.003205537796020508
7500,123,2.56748628616333,2.570483922958374,0.0029976367950439453
7500,124,2.571760654449463,2.5718419551849365,8.130073547363281e-05
7500,125,2.570127010345459,2.5756378173828125,0.005510807037353516
7500,126,2.5684151649475098,2.5662436485290527,-0.0021715164184570312
7500,127,2.5660085678100586,2.5697593688964844,0.0037508010864257812
7500,128,2.568655490875244,2.5687174797058105,6.198883056640625e-05
7500,129,2.5696334838867188,2.5686092376708984,-0.0010242462158203125
7500,130,2.5649449825286865,2.567558526992798,0.002613544464111328
7500,131,2.566838026046753,2.566265821456909,-0.00057220458984375
7500,132,2.566775321960449,2.56823468208313,0.001459360122680664
7500,133,2.5610604286193848,2.5615386962890625,0.0004782676696777344
7500,134,2.564012289047241,2.563654899597168,-0.0003573894500732422
7500,135,2.5651986598968506,2.567103385925293,0.0019047260284423828
7500,136,2.5691258907318115,2.5649561882019043,-0.0041697025299072266
7500,137,2.562089681625366,2.5630853176116943,0.000995635986328125
7500,138,2.562180995941162,2.5600805282592773,-0.0021004676818847656
7500,139,2.559368371963501,2.5583722591400146,-0.0009961128234863281
7500,140,2.56270170211792,2.560817003250122,-0.0018846988677978516
7500,141,2.5618715286254883,2.561288595199585,-0.0005829334259033203
7500,142,2.559549331665039,2.559384346008301,-0.00016498565673828125
7500,143,2.5608367919921875,2.5575942993164062,-0.00324249267578125
7500,144,2.5569398403167725,2.5567221641540527,-0.00021767616271972656
7500,145,2.5559260845184326,2.5563817024230957,0.00045561790466308594
7500,146,2.5598819255828857,2.559199094772339,-0.000682830810546875
7500,147,2.5531954765319824,2.5563950538635254,0.0031995773315429688
7500,148,2.5563745498657227,2.5559983253479004,-0.0003762245178222656
7500,149,2.549910545349121,2.5531864166259766,0.0032758712768554688
7500,150,2.5463547706604004,2.5482656955718994,0.0019109249114990234
7500,151,2.53944730758667,2.5399770736694336,0.0005297660827636719
7500,152,2.5506467819213867,2.5474259853363037,-0.003220796585083008
7500,153,2.5450820922851562,2.544827938079834,-0.0002541542053222656
7500,154,2.542202949523926,2.538869857788086,-0.0033330917358398438
7500,155,2.5459232330322266,2.547628879547119,0.0017056465148925781
7500,156,2.541006088256836,2.540790557861328,-0.0002155303955078125
7500,157,2.5396599769592285,2.5401480197906494,0.00048804283142089844
7500,158,2.5352931022644043,2.537057876586914,0.0017647743225097656
7500,159,2.5348892211914062,2.5340394973754883,-0.0008497238159179688
7500,160,2.5414562225341797,2.5435073375701904,0.002051115036010742
7500,161,2.5359134674072266,2.536121368408203,0.0002079010009765625
7500,162,2.533742904663086,2.5361697673797607,0.0024268627166748047
7500,163,2.534304618835449,2.5351550579071045,0.0008504390716552734
7500,164,2.539052963256836,2.5431342124938965,0.004081249237060547
7500,165,2.531284809112549,2.533742666244507,0.002457857131958008
7500,166,2.525855541229248,2.526973247528076,0.001117706298828125
7500,167,2.5242738723754883,2.525222063064575,0.0009481906890869141
7500,168,2.5286450386047363,2.5258002281188965,-0.0028448104858398438
7500,169,2.5254735946655273,2.5287399291992188,0.0032663345336914062
7500,170,2.5232672691345215,2.5252840518951416,0.002016782760620117
7500,171,2.520782709121704,2.5230777263641357,0.0022950172424316406
7500,172,2.520740032196045,2.5232458114624023,0.002505779266357422
7500,173,2.516083002090454,2.5185658931732178,0.002482891082763672
7500,174,2.5203607082366943,2.522460460662842,0.002099752426147461
7500,175,2.520717144012451,2.5186915397644043,-0.002025604248046875
7500,176,2.5236124992370605,2.5225467681884766,-0.0010657310485839844
7500,177,2.513556480407715,2.5169763565063477,0.0034198760986328125
7500,178,2.5143818855285645,2.5115878582000732,-0.002794027328491211
7500,179,2.512885808944702,2.518293857574463,0.005408048629760742
7500,180,2.515255928039551,2.513319969177246,-0.0019359588623046875
7500,181,2.506972074508667,2.512371778488159,0.0053997039794921875
