update,role,length,words,E_seq,E_seq_rope,E_delta_pp,A_seq,A_seq_rope,A_delta_pp,M_seq,M_seq_rope,M_delta_pp
10000,ood_dev,23,102400,0.0,0.0,0.0,0.01705078125,0.016904296875,-0.014648437500000208,0.215224609375,0.2735130774456522,5.828846807065219
10000,ood_dev,24,102400,0.0,0.0,0.0,0.017158203125,0.0168359375,-0.03222656250000018,0.20697184244791667,0.26281819661458333,5.584635416666667
10000,ood_dev,25,102400,0.0,0.0,0.0,0.01630859375,0.01677734375,0.04687500000000004,0.1993453125,0.2529765625,5.363124999999999
10000,ood_dev,26,102400,0.0,0.0,0.0,0.0164453125,0.016103515625,-0.03417968750000014,0.19231069711538462,0.2438660606971154,5.155536358173077
10000,ood_dev,27,102400,0.0,0.0,0.0,0.01703125,0.015966796875,-0.10644531249999999,0.18581886574074075,0.23542534722222222,4.960648148148147
10000,ood_dev,28,102400,0.0,0.0,0.0,0.017490234375,0.016298828125,-0.11914062499999989,0.17980712890625,0.22759940011160715,4.779227120535714
10000,ood_dev,29,102400,0.0,0.0,0.0,0.01646484375,0.01638671875,-0.0078124999999998335,0.17417463631465518,0.2203162042025862,4.614156788793103
10000,ood_dev,30,102400,0.0,0.0,0.0,0.0165625,0.01708984375,0.05273437499999992,0.1689208984375,0.2135419921875,4.462109375000001
10000,ood_dev,31,102400,0.0,0.0,0.0,0.016181640625,0.01689453125,0.07128906250000004,0.16399382560483872,0.20719852570564515,4.320470010080643
10000,ood_dev,32,102400,0.0,0.0,0.0,0.01677734375,0.0158984375,-0.08789062499999986,0.159393310546875,0.20122039794921875,4.182708740234375
10000,ood_dev,33,102400,0.0,0.0,0.0,0.016640625,0.01658203125,-0.005859374999999875,0.15506747159090908,0.1956252959280303,4.055782433712121
10000,ood_dev,34,102400,0.0,0.0,0.0,0.0163671875,0.016171875,-0.019531250000000278,0.15098805147058825,0.1903472541360294,3.9359202665441155
10000,ood_dev,35,102400,0.0,0.0,0.0,0.017275390625,0.01759765625,0.03222656249999983,0.14716768973214286,0.18541155133928572,3.8243861607142855
10000,ood_dev,36,102400,0.0,0.0,0.0,0.01666015625,0.01693359375,0.02734375000000011,0.14354248046875,0.18073160807291666,3.718912760416665
25000,dev,1,102400,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
25000,dev,2,102400,0.98333984375,0.98333984375,0.0,0.98333984375,0.98333984375,0.0,0.991669921875,0.991669921875,0.0
25000,dev,3,102400,0.981494140625,0.98302734375,0.15332031250000488,0.9973046875,0.99939453125,0.20898437499999867,0.9935481770833333,0.9942447916666667,0.06966145833333659
25000,dev,4,102400,0.964140625,0.982109375,1.7968749999999978,0.97392578125,0.99751953125,2.359375000000008,0.988642578125,0.9950634765625,0.6420898437500044
25000,dev,5,102400,0.87755859375,0.978330078125,10.077148437499995,0.893876953125,0.995048828125,10.117187499999991,0.969689453125,0.995060546875,2.5371093750000018
25000,dev,6,102400,0.5349609375,0.972314453125,43.7353515625,0.572451171875,0.992333984375,41.98828124999999,0.9034830729166666,0.9946061197916667,9.112304687500005
25000,dev,7,102400,0.143369140625,0.943662109375,80.029296875,0.1883984375,0.968232421875,77.9833984375,0.801328125,0.9908384486607142,18.95103236607143
25000,dev,8,102400,0.025908203125,0.898154296875,87.224609375,0.062763671875,0.937783203125,87.501953125,0.709007568359375,0.98420654296875,27.519897460937504
25000,dev,9,102400,0.003486328125,0.439013671875,43.552734375,0.02978515625,0.477841796875,44.8056640625,0.6335384114583333,0.9279437934027778,29.440538194444443
25000,dev,10,102400,0.0004296875,0.09755859375,9.712890625,0.020693359375,0.123544921875,10.28515625,0.57225390625,0.84750390625,27.525
25000,dev,11,102400,4.8828125e-05,0.010576171875,1.052734375,0.01888671875,0.029677734375,1.0791015625,0.5219477982954546,0.7731560724431819,25.120827414772727
25000,dev,12,102400,9.765625e-06,0.000703125,0.0693359375,0.0179296875,0.018173828125,0.0244140625,0.4799462890625,0.7102408854166666,23.029459635416664
25000,ood_dev,1,102400,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
