update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M
10000,5,102400,63378,67033,465197,512000,0.61892578125,0.6159468162209417,0.6218958237916811,0.654619140625,0.6517010524886957,0.657525628355438,0.908587890625
10000,6,102400,8812,10818,476015,614400,0.0860546875,0.08435248503930215,0.0877879464884479,0.10564453125,0.10377662097976816,0.10754202830667146,0.7747639973958333
10000,7,102400,891,3203,479218,716800,0.008701171875,0.008150475177496641,0.009288728600213477,0.031279296875,0.030230586319959184,0.0323631735186135,0.6685518973214286
10000,8,102400,75,1988,481206,819200,0.000732421875,0.0005843998858659578,0.000917901752716203,0.0194140625,0.018586831624648362,0.020277349661178636,0.58740966796875
10000,9,102400,12,1789,482995,921600,0.0001171875,6.703989323386348e-05,0.00020483915372444735,0.017470703125,0.016686150166160145,0.018291458171521675,0.5240831163194445
10000,10,102400,0,1777,484772,1024000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017353515625,0.016571614402483354,0.01817162772727011,0.47341015625
10000,11,102400,0,1645,486417,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016064453125,0.01531236540613202,0.01685284843640957,0.43183327414772726
10000,12,102400,0,1735,488152,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016943359375,0.016170814160317883,0.017752146241686355,0.39725911458333335
10000,13,102400,0,1716,489868,1331200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0167578125,0.01598953884727668,0.017562341725507667,0.36798978365384616
10000,14,102400,0,1667,491535,1433600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016279296875,0.015522155292928382,0.017072729930815194,0.34286760602678573
10000,15,102400,0,1695,493230,1536000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016552734375,0.015789210913578336,0.01735252879533139,0.32111328125
10000,16,102400,0,1820,495050,1638400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0177734375,0.01698207724119868,0.018600977133631385,0.302154541015625
10000,17,102400,0,1683,496733,1740800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016435546875,0.01567475168184742,0.01723262181913395,0.2853475413602941
10000,18,102400,0,1689,498422,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016494140625,0.01573198002662403,0.017292576578321527,0.27041124131944444
10000,19,102400,0,1702,500124,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.25705386513157896
10000,20,102400,0,1665,501789,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016259765625,0.015503082034887343,0.017052742154201505,0.24501416015625
10000,21,102400,0,1662,503451,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01623046875,0.015474472688896538,0.017022759948210224,0.23411969866071428
10000,22,102400,0,1700,505151,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0166015625,0.015836905251750164,0.017402487043796374,0.2242325106534091
10000,23,102400,0,1746,506897,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01705078125,0.016275774250670384,0.017862021841934844,0.215224609375
10000,24,102400,0,1757,508654,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017158203125,0.016380742477780357,0.01797188930542586,0.20697184244791667
10000,25,102400,0,1670,510324,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01630859375,0.01555076571978533,0.01710271105594033,0.1993453125
10000,26,102400,0,1684,512008,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0164453125,0.015684289562204114,0.017242614456104623,0.19231069711538462
10000,27,102400,0,1744,513752,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01703125,0.016256689990451302,0.0178420450674992,0.18581886574074075
10000,28,102400,0,1791,515543,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017490234375,0.016705240370903412,0.018311429001433132,0.17980712890625
10000,29,102400,0,1686,517229,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01646484375,0.015703365535630627,0.017262599517332833,0.17417463631465518
10000,30,102400,0,1696,518925,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0165625,0.01579874964096129,0.017362520585275803,0.1689208984375
10000,31,102400,0,1657,520582,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016181640625,0.015426791892705764,0.01697278815776418,0.16399382560483872
10000,32,102400,0,1718,522300,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.159393310546875
10000,33,102400,0,1704,524004,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016640625,0.01587506198163439,0.0174424523832216,0.15506747159090908
10000,34,102400,0,1676,525680,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0163671875,0.01560798851048257,0.017162671369207273,0.15098805147058825
10000,35,102400,0,1769,527449,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017275390625,0.016495262462912757,0.018091735528221815,0.14716768973214286
10000,36,102400,0,1706,529155,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01666015625,0.015894140765027154,0.017462434634483562,0.14354248046875
