setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,update,epoch,native_loss,native_targets,input_tokens,learning_rate,gradient_norm,seconds,cumulative_recorded_update_seconds
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,33,1,2.63893723487854,12288,32768,0.0005,0.2540472745895386,0.04519775998778641,1.65189115999965
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,34,1,2.6377763748168945,12288,32768,0.0005,0.22575445473194122,0.0451017680024961,1.696992928002146
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,35,1,2.640221118927002,12288,32768,0.0005,0.3658568859100342,0.045470506011042744,1.7424634340131888
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,36,1,2.638253688812256,12288,32768,0.0005,0.2552352249622345,0.045185356997535564,1.7876487910107244
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,37,1,2.639228105545044,12288,32768,0.0005,0.2900906801223755,0.045418081994284876,1.8330668730050093
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,38,1,2.63852858543396,12288,32768,0.0005,0.2772895395755768,0.045363589000771753,1.878430462005781
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,39,1,2.6387603282928467,12288,32768,0.0005,0.29612940549850464,0.045461237998097204,1.9238917000038782
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,40,1,2.637739896774292,12288,32768,0.0005,0.2490159124135971,0.04541850900568534,1.9693102090095636
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,41,1,2.6363189220428467,12288,32768,0.0005,0.22688651084899902,0.045354194997344166,2.0146644040069077
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,42,1,2.6366231441497803,12288,32768,0.0005,0.22565270960330963,0.04526912700384855,2.0599335310107563
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,43,1,2.637376546859741,12288,32768,0.0005,0.2528790533542633,0.045409915008349344,2.1053434460191056
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,44,1,2.6370019912719727,12288,32768,0.0005,0.27412116527557373,0.045407343000988476,2.150750789020094
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,45,1,2.6365513801574707,12288,32768,0.0005,0.2922341227531433,0.04548677698767278,2.196237566007767
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,46,1,2.635267734527588,12288,32768,0.0005,0.16825531423091888,0.045544246007921174,2.241781812015688
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,47,1,2.6372714042663574,12288,32768,0.0005,0.3258020579814911,0.04550292399653699,2.287284736012225
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,48,1,2.6355180740356445,12288,32768,0.0005,0.2614625096321106,0.04581795800186228,2.3331026940140873
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,49,1,2.6344032287597656,12288,32768,0.0005,0.16637209057807922,0.045951466003316455,2.3790541600174038
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,50,1,2.635040760040283,12288,32768,0.0005,0.27198731899261475,0.0463416819984559,2.4253958420158597
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,51,1,2.633298873901367,12288,32768,0.0005,0.2663829028606415,0.04623796298983507,2.4716338050056947
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,52,1,2.6320102214813232,12288,32768,0.0005,0.17087802290916443,0.04593961499631405,2.517573420002009
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,53,1,2.635089874267578,12288,32768,0.0005,0.3226393759250641,0.04545737800071947,2.5630307980027283
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,54,1,2.6324596405029297,12288,32768,0.0005,0.22473062574863434,0.04552454999065958,2.608555347993388
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,55,1,2.6318747997283936,12288,32768,0.0005,0.30384907126426697,0.04550711400224827,2.654062461995636
