setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,epoch,update,cumulative_recorded_update_seconds,ce,token_accuracy,sequence_exact_match,targets,examples,native_ce
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,22,2200,82.98723018290184,8.148367840996279e-05,0.9999860491071428,0.99921875,71680,1280,8.148367840996279e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,23,2300,86.76670007388748,0.0002029472030699253,0.9999581473214286,0.99765625,71680,1280,0.0002029472030699253
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,24,2400,90.53867152691237,9.706901785518441e-05,0.9999860491071428,0.99921875,71680,1280,9.706901785518441e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,25,2500,94.31228789685701,0.00035057285567745565,0.9999441964285715,0.996875,71680,1280,0.00035057285567745565
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,26,2600,98.09301350079477,0.00018391812669246325,0.9999720982142857,0.9984375,71680,1280,0.00018391812669246325
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,27,2700,101.85431801290542,0.0003163168206810951,0.9999441964285715,0.996875,71680,1280,0.0003163168206810951
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,28,2800,105.64096014690585,0.00041804115171544253,0.99990234375,0.9953125,71680,1280,0.00041804115171544253
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,29,2900,109.41516686996329,0.000611907453276217,0.9998465401785714,0.99140625,71680,1280,0.000611907453276217
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,30,3000,113.19255977292778,0.0005091368436946401,0.9998883928571428,0.99375,71680,1280,0.0005091368436946401
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,31,3100,116.99353970287484,0.0008555844259847487,0.9998046875,0.9890625,71680,1280,0.0008555844259847487
