update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M
5000,33,102400,0,1724,1407384,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0168359375,0.01606586228283863,0.01764226242856461,0.416484375
5000,34,102400,0,1722,1409106,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01681640625,0.016046781011694225,0.017622282665054292,0.40472943474264705
5000,35,102400,0,1663,1410769,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016240234375,0.015484009065332125,0.017032754089101997,0.3936297433035714
5000,36,102400,0,1722,1412491,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01681640625,0.016046781011694225,0.017622282665054292,0.3831627061631944
10000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
10000,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
10000,3,102400,102400,102400,307200,307200,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0
10000,4,102400,102397,102397,409597,409600,0.999970703125,0.9999138592392058,0.9999900363697822,0.999970703125,0.9999138592392058,0.9999900363697822,0.99999267578125
10000,5,102400,102390,102391,511988,512000,0.99990234375,0.9998202295599984,0.9999469524276979,0.999912109375,0.9998329541276058,0.999953758377418,0.9999765625
10000,6,102400,102373,102379,614367,614400,0.999736328125,0.9996163891811771,0.9998187740119542,0.999794921875,0.9996864903756401,0.9998658559214554,0.9999462890625
10000,7,102400,102336,102346,716713,716800,0.999375,0.9992020535530068,0.999510480499012,0.99947265625,0.99931206478972,0.9995957744355726,0.9998786272321428
10000,8,102400,102289,102318,819031,819200,0.998916015625,0.9986948905496533,0.9990997091879794,0.99919921875,0.9990062333665538,0.9993547513735724,0.999793701171875
10000,9,102400,102209,102253,921284,921600,0.998134765625,0.9978511472800239,0.9983810110714199,0.998564453125,0.9983131050785029,0.9987783960353448,0.9996571180555556
10000,10,102400,102100,102171,1023455,1024000,0.9970703125,0.9967201141559111,0.9973832178068501,0.997763671875,0.9974550819919834,0.9980349167010207,0.9994677734375
10000,11,102400,101916,102029,1125484,1126400,0.9952734375,0.9948343659258698,0.9956753508486567,0.996376953125,0.9959898694750091,0.9967267957575092,0.9991867897727272
10000,12,102400,101551,101739,1227223,1228800,0.991708984375,0.9911348582218029,0.9922462197282362,0.993544921875,0.9930355634343955,0.9940172517731878,0.9987166341145833
