first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy
12001,12100,100,653.8786157808099,0.002930703780730255,0.9992277228832245
12101,12200,100,659.2509757978078,0.0033457267840276473,0.999088562130928
12201,12300,100,664.6387875417931,0.002954700569389388,0.9992138868570328
12301,12400,100,670.007167207812,0.0029576890735188498,0.9992293465137482
12401,12500,100,675.3849109757975,0.002509985506767407,0.9993310737609863
12501,12600,100,680.7726886168239,0.002591116001131013,0.999287126660347
12601,12700,100,686.1672509558048,0.002695067784807179,0.9992431825399399
12701,12800,100,691.5437812967903,0.0029088879816117695,0.9992448097467422
12801,12900,100,696.9056832957758,0.002804860313190147,0.9992667835950851
12901,13000,100,702.3024428367789,0.002933009723201394,0.9992236506938934
13001,13100,100,707.685107738791,0.0027837495037238112,0.9992675954103469
13101,13200,100,713.0282669397893,0.002621751668921206,0.9992675966024399
13201,13300,100,718.4099072297759,0.0025202736773644575,0.9992863142490387
13301,13400,100,723.7631372027863,0.003563736677460838,0.9990690302848816
13401,13500,100,729.081015722797,0.002777439114288427,0.9992260950803756
13501,13600,100,734.433344484798,0.0020661773774190806,0.9994490736722946
13601,13700,100,739.7734050437975,0.002991936521138996,0.9992342311143875
13701,13800,100,745.1249315227906,0.0024709407819318587,0.9993294447660446
13801,13900,100,750.5079960387993,0.0027150214865105226,0.9993042182922364
13901,14000,100,755.8014259607698,0.003043483131623361,0.9991837769746781
14001,14100,100,761.1641181247724,0.0025297551014227793,0.9993546736240387
14101,14200,100,766.5008546397839,0.0027650154326693153,0.9992822474241256
14201,14300,100,771.8752372877789,0.0025071479263715445,0.9993888545036316
14301,14400,100,777.290606646784,0.003458126717596315,0.9991406464576721
14401,14500,100,782.6605711428056,0.0025132007760112172,0.9993497908115387
14501,14600,100,788.0440153598138,0.0030393288444611243,0.9992521339654923
14601,14700,100,793.4623273338148,0.0026160596011322924,0.9993139863014221
14701,14800,100,798.8708763688301,0.00256128924258519,0.9993538618087768
14801,14900,100,804.2854702628538,0.0026471662092080804,0.9993481653928756
14901,15000,100,809.7053256879044,0.002690474501578137,0.9993042188882828
15001,15100,100,815.129574799892,0.002695008938026149,0.9993318867683411
15101,15200,100,820.55564868289,0.0025718498940113933,0.9993473482131958
15201,15300,100,825.951139994886,0.0023745079210493714,0.9994189637899399
15301,15400,100,831.3496065518921,0.003110580322390888,0.9992464369535446
15401,15500,100,836.8066492548933,0.0022905049929977397,0.9993872261047363
15501,15600,100,842.254998613902,0.002340884894656483,0.9994222205877304
15601,15700,100,847.68822244693,0.0024367533004260623,0.9993815302848816
15701,15800,100,853.1057670559167,0.003260088478564285,0.9991845905780792
15801,15900,100,858.5245384359041,0.002683102650917135,0.9993449056148529
15901,16000,100,863.9414178079023,0.002747912344348151,0.9993237495422364
16001,16100,100,869.3945186839192,0.0033782284407061526,0.9992350429296494
16101,16200,100,874.7938764369137,0.002364970448979875,0.9994531446695327
16201,16300,100,880.1937845259272,0.0028681565991428215,0.9993074733018875
16301,16400,100,885.5897792449177,0.0026150472179870122,0.9993790882825851
16401,16500,100,890.9881405669075,0.0025780505206785165,0.9993636274337768
16501,16600,100,896.4059702829254,0.002934298748295987,0.9993164241313934
16601,16700,100,901.8829368119223,0.0028883252295781856,0.9993554896116257
16701,16800,100,907.3523711139242,0.0028301650618959683,0.9993213081359863
16801,16900,100,912.8341682179234,0.0026762964042427485,0.9993685078620911
16901,17000,100,918.2962430409243,0.0023823234128940384,0.999454773068428
17001,17100,100,923.7733474358829,0.002655138871341478,0.9993701350688934
17101,17200,100,929.1906110709024,0.0028140217275358734,0.9993335163593292
17201,17300,100,934.589117474934,0.002979831674892921,0.9993538588285447
17301,17400,100,940.0022660179238,0.0021945050569047455,0.9995198726654053
17401,17500,100,945.3597608799428,0.0027840329907485284,0.9993343311548233
17501,17600,100,950.7316719039518,0.0028772380121517924,0.9993636274337768
17601,17700,100,956.1159365849599,0.0025870227941777557,0.9994091993570328
17701,17800,100,961.4886220689768,0.0027629835311381613,0.9993742072582245
17801,17900,100,966.8682331079763,0.0022330387819965835,0.9995092976093293
17901,18000,100,972.2712223719755,0.002606899871316273,0.9993774592876434
18001,18100,100,977.5962405009777,0.002618916208011797,0.9993904793262481
18101,18200,100,982.9344726059862,0.0023633117326244246,0.999468605518341
18201,18300,100,988.3091349639762,0.0029748630899121054,0.9993685060739517
18301,18400,100,993.6707918079701,0.0028092518923222088,0.9994010597467422
18401,18500,100,999.0370731739386,0.0021101842174539344,0.9995418477058411
18501,18600,100,1004.4547828009418,0.003301406084210612,0.9992773622274399
18601,18700,100,1009.8746758499547,0.0029043187481875067,0.9993571132421494
18701,18800,100,1015.3305874819707,0.002516110379365273,0.9994580274820328
18801,18900,100,1020.7542961619693,0.002573050090286415,0.9994295418262482
18901,19000,100,1026.1588134939593,0.0025322537888132503,0.9994498860836029
19001,19100,100,1031.581705693945,0.002463196018652525,0.9994832521677017
19101,19200,100,1036.9381256309534,0.0030647546678665093,0.9993750202655792
19201,19300,100,1042.315624479972,0.0028036690049339087,0.9994466334581376
19301,19400,100,1047.698617266964,0.0027552275126799942,0.9994254732131957
19401,19500,100,1053.0201687089502,0.0022211952786892653,0.9995686984062195
19501,19600,100,1058.4116516659597,0.002689577603014186,0.9994165223836898
19601,19700,100,1063.7653921219462,0.002204426930693444,0.9994970887899399
19701,19800,100,1069.1405583289525,0.0028614610561635344,0.9994197762012482
19801,19900,100,1074.5429605489553,0.002550981009262614,0.9995312678813935
19901,20000,100,1079.9333075679606,0.002661241239256924,0.9994311708211899
20001,20100,100,1085.3105933939696,0.0023195474104431924,0.9994938343763351
20101,20200,100,1090.7044657649749,0.0024017414326954166,0.9995003432035446
20201,20300,100,1096.097860870963,0.002485736415546853,0.9994531428813934
20301,20400,100,1101.4753000539786,0.002437149760662578,0.9994881385564804
20401,20500,100,1106.8507809479743,0.0025206415783031845,0.9994808089733124
20501,20600,100,1112.2892754019776,0.002749345327029005,0.9994629085063934
