arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
input,5000,ood_dev,4,102400,102399,102399,409599,409600,0.999990234375,0.9999446805183295,0.9999982761253133,0.999990234375,0.9999446805183295,0.9999982761253133,0.99999755859375,0.00040687132618931086
input,5000,ood_dev,5,102400,102397,102398,511997,512000,0.999970703125,0.9999138592392058,0.9999900363697822,0.99998046875,0.9999287823158808,0.9999946438104347,0.999994140625,0.0007653895584616954
input,5000,ood_dev,6,102400,102372,102373,614370,614400,0.9997265625,0.99960483075273,0.9998108019230739,0.999736328125,0.9996163891811771,0.9998187740119542,0.999951171875,0.0016546904059728184
input,5000,ood_dev,7,102400,102323,102335,716705,716800,0.999248046875,0.9990603884072679,0.9993982489194954,0.999365234375,0.9991911066054158,0.9995018969292757,0.9998674665178572,0.003134953380786687
input,5000,ood_dev,8,102400,102212,102237,818942,819200,0.9981640625,0.9978825175586316,0.9984082323447944,0.998408203125,0.9981446241280074,0.9986343887086024,0.99968505859375,0.0058930220003420965
input,5000,ood_dev,9,102400,102003,102069,921011,921600,0.996123046875,0.9957233610420011,0.9964855107400059,0.996767578125,0.9964007869116954,0.9970970990139177,0.9993608940972222,0.010361342672374239
input,5000,ood_dev,10,102400,101706,101855,1022866,1024000,0.99322265625,0.9927013055006271,0.9937070026351531,0.994677734375,0.9942131562646973,0.99510519895286,0.998892578125,0.01673079336345392
input,5000,ood_dev,11,102400,101244,101510,1124376,1126400,0.9887109375,0.9880452714712142,0.9893399376593246,0.99130859375,0.990721352977587,0.9918589737620304,0.998203125,0.026805095935293028
input,5000,ood_dev,12,102400,100356,100804,1225180,1228800,0.9800390625,0.9791642181716369,0.9808778915722036,0.9844140625,0.9836370163869793,0.9851547651195197,0.9970540364583333,0.04593204422420968
input,5000,ood_dev,13,102400,35683,36068,1261248,1331200,0.348466796875,0.3455541152368894,0.3513908473944236,0.3522265625,0.34930651655201933,0.3551576952503283,0.947451923076923,5.61043156106963
input,5000,ood_dev,14,102400,4506,7674,1268922,1433600,0.04400390625,0.04276468146606625,0.045277342450060036,0.07494140625,0.07334463970946495,0.07657006309974632,0.8851297433035714,11.667985867426466
input,5000,ood_dev,15,102400,350,2866,1271788,1536000,0.00341796875,0.003078649361646165,0.0037945445419607375,0.02798828125,0.026995617542110193,0.02901635795714125,0.8279869791666666,13.32098321902274
input,5000,ood_dev,16,102400,18,1961,1273749,1638400,0.00017578125,0.0001111977053172625,0.0002778644456052245,0.019150390625,0.018328813551815405,0.020008043766172802,0.7774346923828125,13.151199263919992
