arm,first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
injection,7401,0.01,0.9934514760971069,0.0053675779886543755,0.11526873894035816,0.902736485004425,0.8453202992677689,0.008172554215416312,0.8975481390953064,0.0019290031923446804,0.0028049762404407375,0.002500106958905235,0.9990641468763352,1136.2159996750415,7500,100,0.0053675779886543755
injection,7501,0.01,0.9939440488815308,0.005166279738768935,0.11087822914123535,0.9027486741542816,0.8443657606840134,0.007750053550116718,0.897312119603157,0.0031692077027400956,0.00258377380319871,0.002873577264836058,0.9991650593280792,1151.3426852130433,7600,100,0.005166279738768935
injection,7601,0.01,0.9938339442014694,0.005038517382927239,0.11189141124486923,0.9027797430753708,0.8443116992712021,0.007789268945343792,0.8978471606969833,0.002670685775228776,0.002750751571729779,0.0031274320499505848,0.9991080927848816,1166.5410682570418,7700,100,0.005038517382927239
injection,7701,0.01,0.9940751791000366,0.004986008862033486,0.10974154621362686,0.9027883857488632,0.8442544341087341,0.007399515267461538,0.8977958261966705,0.0011219742737011984,0.0024135063894209453,0.0020856237097177655,0.9991911017894745,1181.6828328370411,7800,100,0.004986008862033486
injection,7801,0.01,0.994566023349762,0.004826660128310322,0.1051093190908432,0.9028013497591019,0.8435347974300385,0.007316015418618918,0.8981209099292755,0.0007608962623635307,0.0024893552728462963,0.0013222117850091308,0.9992065626382828,1196.9933758530515,7900,100,0.004826660128310322
injection,7901,0.01,0.9942281395196915,0.004706345009617507,0.10827499255537987,0.9028220027685165,0.842947855591774,0.00719915977679193,0.8982499986886978,0.0012483317404985428,0.0024928147782338783,0.0019112752634100616,0.9992000538110734,1212.2858955840547,8000,100,0.004706345009617507
injection,8001,0.01,0.9945370554924011,0.004543858449906111,0.105371268466115,0.9028600305318832,0.8424396365880966,0.006764907804317773,0.8982142806053162,0.001794613359379582,0.0022210493197781034,0.0020317753951530904,0.9992912006378174,1227.7064154380514,8100,100,0.004543858449906111
injection,8101,0.01,0.9943659752607346,0.004532009959220886,0.10700006410479546,0.9029141068458557,0.8419015258550644,0.00712342687882483,0.8982469141483307,0.0015928870998322964,0.002591416934155859,0.002418597345240414,0.9991707563400268,1243.1222227850412,8200,100,0.004532009959220886
injection,8201,0.01,0.9944608509540558,0.004414484910666943,0.10607396252453327,0.9029014706611633,0.8409799039363861,0.00689637815579772,0.89886774122715,0.0026293311966583133,0.0024818932486232372,0.00276953904540278,0.9991707557439804,1258.4208691890344,8300,100,0.004414484910666943
injection,8301,0.01,0.9947779774665833,0.0042059895745478575,0.1029426883906126,0.9029212594032288,0.8408787548542023,0.006509998538531363,0.8985688984394073,0.0016685338778188452,0.002304008966602851,0.002217430650489405,0.9992635297775269,1273.7558196580321,8400,100,0.0042059895745478575
injection,8401,0.01,0.9947995692491531,0.004303033004980535,0.1026763841509819,0.9028873890638351,0.8400177657604218,0.007265202780254185,0.8980817794799805,0.0023582713038194925,0.0029621697674156165,0.0028809231880586594,0.9990315932035446,1289.0104263150297,8500,100,0.004303033004980535
injection,8501,0.01,0.9952101558446884,0.00405968607403338,0.09872729703783989,0.9028866291046143,0.8392865210771561,0.00626869416795671,0.8985118716955185,0.0009558794845361263,0.0022090081029455177,0.0016621928953099996,0.9992480629682541,1304.3384293400304,8600,100,0.00405968607403338
injection,8601,0.01,0.9950776398181915,0.003936367046553642,0.09995616786181927,0.9029054343700409,0.838583692908287,0.006459465455263853,0.8987793773412704,0.0009914789188769646,0.0025230983941582964,0.002128015155903995,0.9991967964172364,1319.5858113800277,8700,100,0.003936367046553642
injection,8701,0.01,0.9954304546117783,0.003900177958421409,0.09640744887292385,0.9029152393341064,0.8376767039299011,0.006217603210825473,0.8995907753705978,0.0012636682076845318,0.002317425202054437,0.0018631053681019694,0.9992472517490387,1334.7715808650264,8800,100,0.003900177958421409
injection,8801,0.01,0.9954795390367508,0.0038135300762951376,0.095933448523283,0.9029835909605026,0.8383186906576157,0.00606070468435064,0.8991853147745132,0.0011400147341191769,0.00224717461358523,0.0016030861879698932,0.9992651551961899,1350.0350645550243,8900,100,0.0038135300762951376
injection,8901,0.01,0.9955619871616364,0.0037555907876230775,0.09500238113105297,0.9030316472053528,0.8381903618574142,0.005956134686712176,0.8991302251815796,0.0009350159052701201,0.002200543888611719,0.0014709285169374198,0.9992968952655792,1365.3178368160243,9000,100,0.0037555907876230775
injection,9001,0.01,0.9957667887210846,0.003680883306078613,0.09273757971823215,0.9030643701553345,0.8377280980348587,0.0059933212376199665,0.8993525952100754,0.0007139357621781528,0.0023124379632645286,0.0015175260341493413,0.999266784787178,1380.5745546190192,9100,100,0.003680883306078613
injection,9101,0.01,0.9953796714544296,0.0037389305303804576,0.0969172865152359,0.9031185805797577,0.8380049914121628,0.005992297071497887,0.8995520323514938,0.0015178666944848374,0.0022533665505761746,0.0025286170130129904,0.9992684102058411,1395.7159203340216,9200,100,0.0037389305303804576
injection,9201,0.01,0.9958348870277405,0.0035834583197720347,0.09211660362780094,0.9031553417444229,0.837784007191658,0.005717645024415106,0.8996072858572006,0.0010609951277729124,0.0021341867017326877,0.001521945872809738,0.9992944538593292,1410.6540283760169,9300,100,0.0035834583197720347
injection,9301,0.01,0.9959976971149445,0.0035580788273364304,0.09021967090666294,0.9032187610864639,0.8376273661851883,0.005511212598066777,0.8997168391942978,0.0009007622211356647,0.0019531337975058705,0.001476935896789655,0.9993685066699982,1425.6198931630042,9400,100,0.0035580788273364304
injection,9401,0.01,0.9959070086479187,0.0034229305083863437,0.09123571775853634,0.9033143669366837,0.8378975540399551,0.005352067763451487,0.9000044614076614,0.0011466992946225218,0.0019291372678708284,0.0019126439583487809,0.9993611842393875,1440.5940429890015,9500,100,0.0034229305083863437
injection,9501,0.01,0.9958378076553345,0.0034225175227038562,0.09206460788846016,0.9033917486667633,0.8374322652816772,0.005503549790009856,0.9002092927694321,0.0018157430313294753,0.0020810322352917865,0.0025415431009605527,0.9993172401189804,1455.6557461619996,9600,100,0.0034225175227038562
injection,9601,0.01,0.996166542172432,0.0034277520794421435,0.08837664499878883,0.903461366891861,0.8375170230865479,0.005636794625315815,0.9001450538635254,0.0004904690067633055,0.0022090425722126384,0.0011643401230685413,0.9992480659484864,1470.8414002099944,9700,100,0.0034277520794421435
injection,9701,0.01,0.9962978959083557,0.0032633710186928512,0.08692182786762714,0.9034882336854935,0.8366779536008835,0.005465150873642415,0.9005773961544037,0.0005173884819669183,0.0022017798441811465,0.0011291854898445308,0.9993017780780792,1486.0048376539853,9800,100,0.0032633710186928512
injection,9801,0.01,0.995782271027565,0.003362312705721706,0.09260423295199871,0.9034831672906876,0.8354962170124054,0.005774642829783261,0.9002279788255692,0.002253924438264221,0.002412330132938223,0.003301873162854463,0.9992269051074981,1501.148165928982,9900,100,0.003362312705721706
injection,9901,0.01,0.9960676580667496,0.0032067230762913824,0.08952645771205425,0.9035315066576004,0.8356050401926041,0.005279112381394953,0.9005515724420547,0.0015226990799419582,0.0020723893235845025,0.002161388605600223,0.9993204945325851,1516.1539270529847,10000,100,0.0032067230762913824
baseline,1,0.0,0.9871561825275421,0.03353730537928641,0.16253703832626343,0.999269649386406,0.17628031224012375,3.8258150744438173,1.0098554193973541,4.36702299118042,3.7922777795791625,0.27049996331334114,0.09783691650256515,16.739366961999735,100,100,0.03353730537928641
baseline,101,0.0,0.9495663493871689,0.037470830287784335,0.2937450595200062,0.9989559948444366,0.3628046475350857,3.6308930993080137,0.995821014046669,4.358875513076782,3.593422269821167,0.4194849245250225,0.13906250447034835,31.689396141999623,200,100,0.037470830287784335
baseline,201,0.0,0.9430070072412491,0.04562772773206234,0.30838507413864136,0.9986360371112823,0.4605124369263649,3.458852081298828,0.9765480011701584,4.241245269775391,3.4132243490219114,0.500079520046711,0.18279053270816803,46.58989176199964,300,100,0.04562772773206234
baseline,301,0.0,0.9487460851669312,0.03736885454505682,0.28536907583475113,0.9982439130544662,0.4827941879630089,3.443724615573883,0.972304105758667,4.165030598640442,3.4063557624816894,0.43639904260635376,0.1834285531938076,61.724619285999324,400,100,0.03736885454505682
baseline,401,0.0,0.947453573346138,0.035927689373493193,0.2830207645893097,0.9979355931282043,0.5187259465456009,3.440846815109253,0.9643399119377136,4.13137948513031,3.4049191308021545,0.40977516025304794,0.18347575321793555,76.61302139099814,500,100,0.035927689373493193
baseline,501,0.0,0.94500333070755,0.03634076558053494,0.2851411923766136,0.9977095723152161,0.5317758619785309,3.439532284736633,0.964772030711174,4.119953393936157,3.4031915187835695,0.3972867727279663,0.18381103992462158,91.64433191899764,600,100,0.03634076558053494
baseline,601,0.0,0.9283871501684189,0.04260992377996445,0.32176800072193146,0.9975994378328323,0.5672148615121841,3.417393786907196,0.9542601108551025,4.125069260597229,3.3747838640213015,0.43742962181568146,0.18741455554962158,106.4799953709977,700,100,0.04260992377996445
baseline,701,0.0,0.592978723347187,0.19161146257072686,0.7075885608792305,0.998042955994606,0.8239191770553589,2.762506102323532,0.6920017898082733,4.1633607149124146,2.5708946418762206,1.4834708869457245,0.3068359461426735,121.4702005849989,800,100,0.19161146257072686
baseline,801,0.0,0.13408082723617554,0.42627849310636523,1.0063699781894684,1.0014652162790298,0.9893780201673508,0.9778224337100982,0.31838684529066086,4.1919025182724,0.5515439373254776,3.4287334084510803,0.8248340028524399,136.2873267470003,900,100,0.42627849310636523
baseline,901,0.0,0.15870585665106773,0.42375185668468474,0.9936346560716629,1.0056120455265045,0.9911644905805588,0.5440122574567795,0.2905481532216072,4.076456308364868,0.12026040274649859,3.8896247148513794,0.9632267451286316,151.17217862900054,1000,100,0.42375185668468474
baseline,1001,0.0,0.2071860246360302,0.4150659871101379,0.97780542075634,1.0077238976955414,0.991347149014473,0.475288388133049,0.2744610831141472,3.9328418374061584,0.06022239994257689,3.8351545333862305,0.9810221552848816,166.31145832300115,1100,100,0.4150659871101379
