first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
2101,9.68e-05,0.7851261645555496,0.1867362703382969,0.62141153216362,1.004550814628601,0.9914766401052475,0.2615884567797184,0.793356865644455,0.7446431964635849,0.07485218700021505,0.667847603559494,0.9753955292701721,239.5749235719968,2200,100,0.1867362703382969
2201,0.0001058,0.7781317681074142,0.19133167639374732,0.6295272260904312,1.004949003458023,0.9899266958236694,0.25131316125392916,0.7960269898176193,0.7103591710329056,0.059981484711170194,0.6408639997243881,0.9804069221019744,250.01162663699688,2300,100,0.19133167639374732
2301,0.00011520000000000001,0.7706287801265717,0.19746282175183297,0.6382281631231308,1.0054419338703156,0.9874937385320663,0.2486432223021984,0.7856316119432449,0.691324383020401,0.051180400159209966,0.633498027920723,0.9830924665927887,260.4400437830009,2400,100,0.19746282175183297
2401,0.00012500000000000003,0.7589899599552155,0.20412153035402297,0.6518092751502991,1.0058142244815826,0.9846206158399582,0.2499520207941532,0.7739527076482773,0.6955815851688385,0.04583049086853862,0.6422032117843628,0.9849194562435151,270.8964809279978,2500,100,0.20412153035402297
2501,0.0001352,0.7502593249082565,0.21092388287186623,0.6616064310073853,1.0058263838291168,0.9820173978805542,0.2526444479823112,0.7575916647911072,0.6886344850063324,0.04172056494280696,0.639657199382782,0.986230491399765,281.3811126219962,2600,100,0.21092388287186623
2601,0.0001458,0.7396022528409958,0.21680249601602555,0.6734194606542587,1.0052535831928253,0.9783712476491928,0.2561025008559227,0.7331135123968124,0.6633690297603607,0.03930000420659781,0.6218103170394897,0.9869865101575851,291.8805213009946,2700,100,0.21680249601602555
2701,0.00015680000000000002,0.7338013350963593,0.21969300791621207,0.6805150210857391,1.0037493109703064,0.9748068302869797,0.25702513128519056,0.7065421342849731,0.6217768341302872,0.03733212234452367,0.5830308049917221,0.9876098811626435,302.53335362999496,2800,100,0.21969300791621207
2801,0.00016820000000000002,0.7473243474960327,0.21435229539871214,0.6680682748556137,1.000503271818161,0.97269506752491,0.24733994469046594,0.6835323125123978,0.5300830081105232,0.032987650204449895,0.4953436031937599,0.9890267121791839,313.2409509449981,2900,100,0.21435229539871214
2901,0.00018,0.7819715291261673,0.19216582283377648,0.6289728581905365,0.9950827211141586,0.9673500657081604,0.22214200019836425,0.6995364427566528,0.3929442763328552,0.02997617706656456,0.3642054572701454,0.9900993025302887,323.82529114299814,3000,100,0.19216582283377648
3001,0.0001922,0.8179459422826767,0.16332341253757476,0.5792790800333023,0.9891645014286041,0.9583895653486252,0.1896847255527973,0.7500439882278442,0.2668115235865116,0.026361312912777067,0.2421688586473465,0.9911987507343292,334.25574123599654,3100,100,0.16332341253757476
3101,0.0002048,0.8438728004693985,0.14049909591674806,0.5389920473098755,0.984021931886673,0.9491861909627914,0.16861381262540817,0.7869297862052917,0.18318235129117966,0.028114715926349163,0.15848856046795845,0.9906445509195327,344.7832870220027,3200,100,0.14049909591674806
3201,0.00021780000000000004,0.8656822443008423,0.12176346525549889,0.5027283728122711,0.9793378859758377,0.9409889876842499,0.147036003023386,0.8064902573823929,0.1313961949199438,0.025272538159042596,0.11280097626149654,0.991573097705841,355.43289075699795,3300,100,0.12176346525549889
3301,0.00023120000000000004,0.8884702771902084,0.10233257614076137,0.4611564874649048,0.9745890498161316,0.9335150718688965,0.12525264889001847,0.826983243227005,0.10238254815340042,0.022920072870329024,0.0872420184314251,0.9925610572099686,365.96235408999746,3400,100,0.10233257614076137
3401,0.00024500000000000005,0.9122690856456757,0.08209952257573605,0.41233883798122406,0.9700342416763306,0.927303746342659,0.10277724348008632,0.8505523651838303,0.0683694202452898,0.02067772066220641,0.05596427619457245,0.993288591504097,376.4375518729976,3500,100,0.08209952257573605
3501,0.00025919999999999996,0.9316573888063431,0.06446272239089013,0.3664831891655922,0.9659471213817596,0.9209814965724945,0.08435882203280926,0.8729874491691589,0.04268255177885294,0.0198960998095572,0.0334671507589519,0.9934700709581376,387.00627775199246,3600,100,0.06446272239089013
3601,0.0002738,0.9457676112651825,0.051364033818244934,0.32825640588998795,0.9625106602907181,0.9154998809099197,0.07030464991927148,0.8889018893241882,0.028352519497275352,0.018940616184845566,0.020664190873503685,0.9937801283597946,397.94642940499034,3700,100,0.051364033818244934
3701,0.0002888,0.9535167068243027,0.04341660793870687,0.30426207184791565,0.9596629589796066,0.909187063574791,0.06338090758770704,0.8987959921360016,0.025957627221941948,0.019964299714192748,0.017304482404142618,0.9933138215541839,408.783160486988,3800,100,0.04341660793870687
3801,0.0003042,0.959844246506691,0.03702879451215267,0.2831244170665741,0.957228034734726,0.904101550579071,0.0552275650203228,0.9044748693704605,0.02141271298751235,0.018198770536109805,0.015661990735679865,0.9938704591989517,419.5085781079879,3900,100,0.03702879451215267
3901,0.00032,0.9673623293638229,0.030508504770696162,0.2557811923325062,0.9549997448921204,0.8997236490249634,0.04648503497242928,0.9126577079296112,0.01806472078897059,0.01597653029486537,0.014166490640491247,0.9947998237609863,430.002215745988,4000,100,0.030508504770696162
